,ID,Owner,Country.of.Origin,Company,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
784,785,cafe politico,Colombia,cafe politico,,1,5 lbs,Specialty Coffee Association,2013,"September 12th, 2014",Cafe Politico,,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.25,82.08,0.11,1,0,Green,0.0,"September 12th, 2015",Specialty Coffee Association,m,,,
785,786,"ceca, s.a.",Costa Rica,"ceca,s.a.",Cafetalera Aquiares,150,69 kg,Specialty Coffee Association of Costa Rica,2013,"March 21st, 2014","CECA, S.A.",Caturra,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,2.0,"March 21st, 2015",Specialty Coffee Association of Costa Rica,m,13.0,13.0,13.0
786,787,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,4,100 lbs,Specialty Coffee Association,2012,"November 26th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,7.5,82.08,0.11,0,0,Bluish-Green,0.0,"November 26th, 2013",Specialty Coffee Association,ft,,,
787,788,"el equimite, cafetal biodinÃ¡mico",Mexico,,GIBRAN LEONARDO CERVANTES COVARRUBIAS,35,1 kg,AMECAFE,2012,"September 10th, 2012","El Equimite, Cafetal BiodinÃ¡mico",Typica,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,7.42,82.08,0.13,0,0,Green,7.0,"September 10th, 2013",AMECAFE,m,1300.0,1300.0,1300.0
788,789,julio perez hernandez,Mexico,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,ISMAM SAN ISIDRO LABRADOR S. DE S.S.,250,1 kg,AMECAFE,2012,"August 30th, 2012",JULIO PEREZ HERNANDEZ,Typica,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,82.08,0.13,3,0,Green,13.0,"August 30th, 2013",AMECAFE,m,1800.0,1800.0,1800.0
789,790,rosa aurora falcon fernandez,Mexico,,ROSA AURORA FALCON FERNANDEZ,15,1 kg,AMECAFE,2012,"July 26th, 2012",ROSA AURORA FALCON FERNANDEZ,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,11.0,"July 26th, 2013",AMECAFE,m,1250.0,1250.0,1250.0
790,791,royal base corporation,Vietnam,royal base corporation,"Apollo Co., LTd.",1,2 kg,Specialty Coffee Association,2012,"July 23rd, 2012",Royal Base Corporation,Other,Natural / Dry,7.67,8,7.17,7.08,7.67,7.08,10.0,10.0,10.0,7.42,82.08,0.12,0,0,Green,2.0,"July 23rd, 2013",Specialty Coffee Association,m,1040.0,1040.0,1040.0
791,792,sergio de la vequia bernardi,Mexico,,RAMIRO DE LA VEQUIA BERNARDI,250,1 kg,AMECAFE,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,82.08,0.11,0,0,Green,1.0,"July 11th, 2013",AMECAFE,m,1250.0,1250.0,1250.0
792,793,kona pacific farmers cooperative,United States (Hawaii),cqi,,10,100 lbs,Specialty Coffee Association,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,7.42,82.08,0.1,0,0,Green,2.0,"February 22nd, 2013",Specialty Coffee Association,ft,,,
793,794,carcafe ltda ci,Colombia,,Carlos Pechene / JesÃºs Pechene / Flor ChacÃ³n,275,70 kg,AlmacafÃ©,January 2011,"April 18th, 2011",CARCAFE LTDA CI,,,7.67,7.42,7.67,7.33,7.25,7.58,10.0,10.0,10.0,7.17,82.08,0.08,1,0,,5.0,"April 17th, 2012",AlmacafÃ©,m,1600.0,1600.0,1600.0
794,795,bismarck castro,Honduras,cigrah s.a de c.v,Santos Fonseca,275,69 kg,Instituto HondureÃ±o del CafÃ©,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82,0.12,0,0,Green,1.0,"June 1st, 2018",Instituto HondureÃ±o del CafÃ©,m,1600.0,1600.0,1600.0
795,796,bismarck castro,Honduras,cigrah s.a de c.v,Santos Fonseca,275,69 kg,Instituto HondureÃ±o del CafÃ©,2016,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82,0.1,0,1,Green,7.0,"April 6th, 2018",Instituto HondureÃ±o del CafÃ©,m,1600.0,1600.0,1600.0
796,797,ipanema coffees,Brazil,ipanema coffees,Ipanema Agricola,230,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,82,0.11,0,2,Green,3.0,"August 16th, 2017",Brazil Specialty Coffee Association,m,944.0,944.0,944.0
797,798,didas,"Tanzania, United Republic Of",tawoca,Mr & Mrs Didas Mallya,2,80 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Didas,Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.42,82,0.13,0,0,Green,20.0,"November 15th, 2016",Africa Fine Coffee Association,m,1500.0,1800.0,1650.0
798,799,minwook ku,Laos,kettles coffee roasters,HanYong Choi,1,2 kg,Specialty Coffee Institute of Asia,2015,"November 5th, 2015",Minwook Ku,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,7.5,82,0.12,0,0,Blue-Green,0.0,"November 4th, 2016",Specialty Coffee Institute of Asia,m,1250.0,1250.0,1250.0
799,800,finca estate,"Tanzania, United Republic Of",finca estate,Finca Estate,1,60 kg,Africa Fine Coffee Association,2014,"December 18th, 2014",Finca Estate,Other,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.5,82,0.12,0,0,Green,3.0,"December 18th, 2015",Africa Fine Coffee Association,m,1300.0,1400.0,1350.0
800,801,afca,Malawi,mzuzu coffee planters coop union,Mzuzu Coffee Coop Union,16,60 kg,Africa Fine Coffee Association,2014,"October 31st, 2014",AFCA,Gesha,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.33,82,0.13,0,0,Bluish-Green,1.0,"October 31st, 2015",Africa Fine Coffee Association,m,2500.0,2500.0,2500.0
801,802,"lin, che-hao krude ???",Taiwan,"red on tree co., ltd.",Chen Jin Lin ???,50,20 kg,Specialty Coffee Association,2013,"July 22nd, 2014","Lin, Che-Hao Krude ???",Typica,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.75,82,0.09,0,0,Green,0.0,"July 22nd, 2015",Specialty Coffee Association,m,600.0,600.0,600.0
802,803,doi tung development project,Thailand,doi tung development project,Doi Tung Development Project,1,1 kg,Specialty Coffee Association,2013,"June 20th, 2014",Doi Tung Development Project,,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10.0,10.0,10.0,7.33,82,0.11,0,0,Green,0.0,"June 20th, 2015",Specialty Coffee Association,m,800.0,800.0,800.0
803,804,eric thormaehlen,Costa Rica,coricafe s.a.,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,82,0.1,0,0,Green,4.0,"June 9th, 2015",Specialty Coffee Association of Costa Rica,m,1200.0,1400.0,1300.0
804,805,beneficio santa rosa,Honduras,beneficio santa rosa s.a.,BSR,275,69 kg,Instituto HondureÃ±o del CafÃ©,2014,"April 30th, 2014",Beneficio Santa Rosa,Caturra,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,7.17,82,0.11,0,0,Green,5.0,"April 30th, 2015",Instituto HondureÃ±o del CafÃ©,m,1400.0,1400.0,1400.0
805,806,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,,250,70 kg,AlmacafÃ©,2013,"September 13th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.17,82,0.11,0,0,Green,1.0,"September 13th, 2014",AlmacafÃ©,m,1800.0,2000.0,1900.0
806,807,"lin, che-hao krude ???",Taiwan,"red on tree co., ltd.","Lin Huang, A-Mien ???",30,10 kg,Specialty Coffee Association,2012,"June 3rd, 2013","Lin, Che-Hao Krude ???",Typica,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,7.42,82,0.12,0,0,Bluish-Green,0.0,"June 3rd, 2014",Specialty Coffee Association,m,600.0,700.0,650.0
807,808,owen carver,Brazil,cafÃ© do paraÃ­so,CafÃ© do ParaÃ­so,1,2 kg,Specialty Coffee Association,2012,"May 21st, 2013",Owen Carver,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82,0.11,0,0,Blue-Green,0.0,"May 21st, 2014",Specialty Coffee Association,m,894.0,1183.0,1038.5
808,809,jorge octavio escamilla prado,Mexico,,JORGE OCTAVIO ESCAMILLA PRADO,15,1 kg,AMECAFE,2012,"July 11th, 2012",JORGE OCTAVIO ESCAMILLA PRADO,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82,0.12,0,0,Green,1.0,"July 11th, 2013",AMECAFE,m,940.0,940.0,940.0
809,810,nucoffee,Brazil,nucoffee,Vander Bonaccorsi,50,60 kg,NUCOFFEE,2012,"June 4th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,82,0.12,0,0,Green,1.0,"June 4th, 2013",NUCOFFEE,m,1000.0,1000.0,1000.0
810,811,nucoffee,Brazil,nucoffee,JosÃ© Hiroiti,75,60 kg,NUCOFFEE,2012,"April 11th, 2012",NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82,0.11,0,0,Blue-Green,1.0,"April 11th, 2013",NUCOFFEE,m,1050.0,1050.0,1050.0
811,812,juan luis alvarado romero,Guatemala,"elfasa, s.a.",PAUL STAUDER,250,1 kg,Asociacion Nacional Del CafÃ©,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,7.17,82,0.11,0,0,Green,3.0,"March 26th, 2013",Asociacion Nacional Del CafÃ©,m,,,
812,813,nucoffee,Brazil,nucoffee,Maria da Gloria Junqueira,53,60 kg,NUCOFFEE,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,82,0.12,0,0,Green,2.0,"February 16th, 2013",NUCOFFEE,m,950.0,950.0,950.0
813,814,felipe isaza,Guatemala,coffee resources inc.,Conquista/Morito,250,2 kg,Specialty Coffee Association,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,7.42,82,0,0,0,Green,10.0,"January 31st, 2013",Specialty Coffee Association,ft,1402.08,1402.08,1402.08
814,815,racafe & cia s.c.a,Colombia,,"Grupo Monserrate, La Plata",150,70 kg,AlmacafÃ©,Mayo a Julio,"July 29th, 2011",Racafe & Cia S.C.A,Caturra,,7.33,7,7.08,7.42,7.5,7.67,10.0,10.0,10.0,8,82,0.07,0,0,,2.0,"July 28th, 2012",AlmacafÃ©,m,1600.0,1950.0,1775.0
815,816,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.","AGRICOLA EL PILAR, S.A.",25,69 kg,Asociacion Nacional Del CafÃ©,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,81.92,0.1,0,0,Green,1.0,"August 22nd, 2018",Asociacion Nacional Del CafÃ©,m,1901.0,1901.0,1901.0
816,817,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",OTTO BECKER,50,69 kg,Asociacion Nacional Del CafÃ©,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,81.92,0.11,0,2,Green,0.0,"June 22nd, 2018",Asociacion Nacional Del CafÃ©,ft,1219.2,1219.2,1219.2
817,818,bismarck castro,Honduras,cigrah s.a de c.v,Reinerio Zepeda,274,67 kg,Instituto HondureÃ±o del CafÃ©,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0,Green,1.0,"June 1st, 2018",Instituto HondureÃ±o del CafÃ©,m,1400.0,1400.0,1400.0
818,819,gabriel barbara,Brazil,volcafe ltda.,MÃºcio Cardoso,305,59 kg,Brazil Specialty Coffee Association,2016 / 2017,"October 26th, 2016",Gabriel Barbara,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,81.92,0.11,0,0,Green,4.0,"October 26th, 2017",Brazil Specialty Coffee Association,m,1020.0,1020.0,1020.0
819,820,consejo salvadoreÃ±o del cafÃ©,El Salvador,consejo salvadoreÃ±o del cafÃ©,"Comercial Exportadora, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2014,"May 5th, 2015",Consejo SalvadoreÃ±o del CafÃ©,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,7.33,81.92,0.11,0,0,Green,2.0,"May 4th, 2016",Salvadoran Coffee Council,m,1250.0,1250.0,1250.0
820,821,juan luis alvarado romero,Guatemala,asociaciÃ³n nacional del cafÃ© - anacafe -,OVIDIO CARDONA,275,69 kg,Asociacion Nacional Del CafÃ©,2015,"April 20th, 2015",Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,7.25,81.92,0.11,0,0,Green,7.0,"April 19th, 2016",Asociacion Nacional Del CafÃ©,m,1300.0,1800.0,1550.0
821,822,mcomafa co ltd,"Tanzania, United Republic Of",mcomafa co. ltd,Mcomafa,114,60 kg,Africa Fine Coffee Association,2014,"January 6th, 2015",Mcomafa Co Ltd,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,7.42,81.92,0.12,0,0,Green,4.0,"January 6th, 2016",Africa Fine Coffee Association,m,1877.0,1877.0,1877.0
822,823,chris finch,Nicaragua,volcafe specialty coffee,,275,5 lbs,Specialty Coffee Association,2013,"July 29th, 2014",Chris Finch,,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,7.33,81.92,0.12,3,0,Green,4.0,"July 29th, 2015",Specialty Coffee Association,m,,,
823,824,lusso lab,Zambia,lusso coffee lab,,13,2 kg,Specialty Coffee Association,2014,"June 20th, 2014",LUSSO LAB,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,81.92,0,1,0,,3.0,"June 20th, 2015",Specialty Coffee Association,m,1000.0,1500.0,1250.0
824,825,rob tuttle,Honduras,thrive farmers,,1,2 kg,Specialty Coffee Association,2012,"January 17th, 2014",Rob Tuttle,,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.42,81.92,0.11,0,0,Green,0.0,"January 17th, 2015",Specialty Coffee Association,m,,,
825,826,cqi taiwan icp cqi??????,Taiwan,blossom valley????,Chen gui jiao ???,35,30 kg,Blossom Valley International,2012,"December 26th, 2013",CQI Taiwan ICP CQI??????,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,7.25,81.92,0.11,0,0,Green,0.0,"December 26th, 2014",Blossom Valley International,m,1000.0,1000.0,1000.0
826,827,calixto guillen vazquez,Mexico,"finca triunfo verde, s.c.",VARIOS PRODUCTORES,450,1 kg,AMECAFE,2013,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,81.92,0.12,0,0,Green,6.0,"March 29th, 2014",AMECAFE,m,1300.0,1300.0,1300.0
827,828,saul m. hernandez ramirez,Mexico,,"PONCE RUBIO, VENANCIO",10,1 kg,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,81.92,0.13,2,0,None,7.0,"September 27th, 2013",AMECAFE,m,981.0,981.0,981.0
828,829,saul m. hernandez ramirez,Mexico,,"FRANCISCO SAENZ, FERNANDO",10,1 kg,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,81.92,0.14,2,0,None,8.0,"September 27th, 2013",AMECAFE,m,690.0,690.0,690.0
829,830,juan hermilio sampieri carcamo,Mexico,,JUAN HERMILIO SAMPIERI CARCAMO,30,1 kg,AMECAFE,2012,"July 11th, 2012",JUAN HERMILIO SAMPIERI CARCAMO,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,7.5,81.92,0.12,0,0,Green,4.0,"July 11th, 2013",AMECAFE,m,1650.0,1650.0,1650.0
830,831,modesto landeros flores,Mexico,,MODESTO LANDEROS FLORES,62,1 kg,AMECAFE,2012,"July 11th, 2012",MODESTO LANDEROS FLORES,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,81.92,0.12,0,0,Green,0.0,"July 11th, 2013",AMECAFE,m,1000.0,1000.0,1000.0
831,832,nucoffee,Brazil,nucoffee,Fioravante Malagutti,8,60 kg,NUCOFFEE,2012,"February 29th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0,Green,3.0,"February 28th, 2013",NUCOFFEE,m,1100.0,1100.0,1100.0
832,833,exportadora de cafe condor s.a,Colombia,,Exportadora de CafÃ© CÃ³ndor S.A,250,70 kg,AlmacafÃ©,4T/2010,"February 1st, 2011",Exportadora de Cafe Condor S.A,,,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.92,0.09,0,0,,1.0,"February 1st, 2012",AlmacafÃ©,m,1600.0,1600.0,1600.0
833,834,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",JESUS RAMIREZ,25,69 kg,Asociacion Nacional Del CafÃ©,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,81.83,0.1,1,0,Green,1.0,"August 22nd, 2018",Asociacion Nacional Del CafÃ©,ft,157.8864,157.8864,157.8864
834,835,troy quimby,Costa Rica,bold coast coffee,Manuel Montero,15,46 kg,Specialty Coffee Association,2016,"February 13th, 2017",Troy Quimby,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,81.83,0,1,0,Green,4.0,"February 13th, 2018",Specialty Coffee Association,m,1900.0,1900.0,1900.0
835,836,gabriel barbara,Brazil,volcafe ltda.,Helena Pingnatti Ricci,200,59 kg,Brazil Specialty Coffee Association,2016,"January 20th, 2017",Gabriel Barbara,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,0.11,0,1,Green,3.0,"January 20th, 2018",Brazil Specialty Coffee Association,m,973.0,973.0,973.0
836,837,aulia arif syahri,Indonesia,pt. olam indonesia,MUDAR,166,30 kg,Specialty Coffee Association,2015,"January 19th, 2017",Aulia Arif Syahri,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,81.83,0.11,0,1,Green,0.0,"January 19th, 2018",Specialty Coffee Association,m,1250.0,1250.0,1250.0
837,838,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",CHAPULTEPEC,130,69 kg,Asociacion Nacional Del CafÃ©,2015,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,81.83,0.1,2,0,Green,6.0,"August 2nd, 2017",Asociacion Nacional Del CafÃ©,m,3280.0,3280.0,3280.0
838,839,ipanema coffees,Brazil,ipanema coffees,Ipanema AgrÃ­cola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,7.75,81.83,0,0,0,Green,1.0,"October 7th, 2016",Brazil Specialty Coffee Association,m,1.0,1.0,1.0
839,840,ipanema coffees,Brazil,ipanema coffees,Ipanema AgrÃ­cola SA,300,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10.0,10.0,10.0,8.25,81.83,0,0,0,Green,0.0,"October 7th, 2016",Brazil Specialty Coffee Association,m,1.0,1.0,1.0
840,841,u mg mg,Myanmar,,U Mg Mg,1,2 kg,Coffee Quality Institute,2015,"July 17th, 2015",U Mg Mg,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,7.33,81.83,0,0,0,Green,2.0,"July 16th, 2016",Coffee Quality Institute,m,4001.0,4001.0,4001.0
841,842,viridiana,Mexico,agroindustrias unidas de mexico sa de cv,MARTINIANO A. MORENO ALVARADO,250,2 kg,AsociaciÃ³n Mexicana De CafÃ©s y CafeterÃ­as De Especialidad A.C.,2015,"June 25th, 2015",VIRIDIANA,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,81.83,0.11,0,0,Green,7.0,"June 24th, 2016",AsociaciÃ³n Mexicana De CafÃ©s y CafeterÃ­as De Especialidad A.C.,m,1350.0,1500.0,1425.0
842,843,cadexsa,Honduras,cadexsa,JOSE OMAR ACOSTA,275,1 kg,Instituto HondureÃ±o del CafÃ©,2015,"May 12th, 2015",CADEXSA,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,0.12,0,0,Green,1.0,"May 11th, 2016",Instituto HondureÃ±o del CafÃ©,m,1400.0,1400.0,1400.0
843,844,"cafetalera internacional cafinter, s.a.",Costa Rica,"cafetalera internacional cafinter, s.a.",JOSE FRANCISCO GONZALEZ,275,18975 kg,Specialty Coffee Association of Costa Rica,2015,"May 7th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,7.42,81.83,0.09,0,0,Green,0.0,"May 6th, 2016",Specialty Coffee Association of Costa Rica,m,1200.0,1400.0,1300.0
844,845,"lin, che-hao krude ???",Taiwan,taiwan coffee laboratory,LIN SIN JI ???,8,5 kg,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude ???",Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,81.83,0,0,0,Green,0.0,"April 29th, 2016",Specialty Coffee Association,m,700.0,700.0,700.0
845,846,essencecoffee,Indonesia,essence coffee,,300,10 kg,Blossom Valley International,2014,"March 21st, 2015",EssenceCoffee,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,81.83,0.11,2,0,None,6.0,"March 20th, 2016",Blossom Valley International,m,1300.0,1300.0,1300.0
846,847,afca,Malawi,mzuzu coffee planters coop union,Mzuzu Coffee Coop Union,24,60 kg,Africa Fine Coffee Association,2014,"October 31st, 2014",AFCA,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.42,81.83,0.13,0,0,Green,0.0,"October 31st, 2015",Africa Fine Coffee Association,m,1556.0,1556.0,1556.0
847,848,ipanema coffees,Brazil,ipanema coffees,Ipanema AgrÃ­cola SA,320,2 kg,Specialty Coffee Association,2014/2015,"October 15th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,81.83,0.11,0,0,Green,0.0,"October 15th, 2015",Specialty Coffee Association,m,1100.0,1100.0,1100.0
848,849,,Honduras,cigrah,"TomÃ¡s Sosa, Juan Damaso",275,1 kg,Instituto HondureÃ±o del CafÃ©,2014,"May 16th, 2014",,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.5,81.83,0.1,0,0,Green,4.0,"May 16th, 2015",Instituto HondureÃ±o del CafÃ©,m,1350.0,1350.0,1350.0
849,850,kurt kappeli,Mexico,globus coffee,various small producers,280,2 kg,Specialty Coffee Association,2014,"April 26th, 2014",Kurt Kappeli,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,81.83,0.11,0,0,Green,0.0,"April 26th, 2015",Specialty Coffee Association,m,1550.0,1550.0,1550.0
850,851,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,LA PLATA,50,70 kg,AlmacafÃ©,2013,"July 19th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.5,7.5,7,7.42,7.5,7.58,10.0,10.0,10.0,7.33,81.83,0,2,0,Bluish-Green,0.0,"July 19th, 2014",AlmacafÃ©,m,1600.0,1950.0,1775.0
851,852,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,19,100 lbs,Specialty Coffee Association,2012,"March 6th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8,7.83,7.83,10.0,6.67,10.0,8,81.83,0,1,0,Bluish-Green,1.0,"March 6th, 2014",Specialty Coffee Association,ft,,,
852,853,jacques pereira carneiro,Brazil,exportadora de cafÃ©s carmo de minas ltda,NAZARETH DIAS PEREIRA,300,60 kg,Specialty Coffee Association,2012,"March 2nd, 2013",Jacques Pereira Carneiro,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,0.12,0,0,Bluish-Green,0.0,"March 2nd, 2014",Specialty Coffee Association,m,1250.0,1250.0,1250.0
